City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
key largo,48.0,US,1637036877.0,74.0,25.0865,-80.4473,70.99,19.51
tokur,61.0,RU,1637036877.0,77.0,53.1333,132.9,9.34,4.68
general pico,99.0,AR,1637036878.0,73.0,-35.6566,-63.7568,57.22,13.78
esperance,99.0,AU,1637036878.0,67.0,-33.8667,121.9,82.24,16.69
butaritari,86.0,KI,1637036878.0,70.0,3.0707,172.7902,82.74,12.75
linfen,19.0,CN,1637036879.0,31.0,36.0889,111.5189,55.2,2.3
tomatlan,57.0,MX,1637036879.0,79.0,19.9333,-105.25,71.73,2.95
vestmanna,90.0,FO,1637036880.0,100.0,62.1564,-7.1664,47.32,19.57
port hardy,90.0,CA,1637036881.0,93.0,50.6996,-127.4199,41.0,8.05
carmen,33.0,MX,1637036881.0,72.0,18.6333,-91.8333,76.06,12.86
miragoane,42.0,HT,1637036882.0,76.0,18.4423,-73.0876,79.18,2.55
ekibastuz,100.0,KZ,1637036882.0,90.0,51.6667,75.3667,21.63,5.03
ugoofaaru,100.0,MV,1637036883.0,81.0,5.6667,73.0,81.23,22.12
bonavista,100.0,CA,1637036725.0,82.0,48.6499,-53.1147,45.12,24.85
yellowknife,40.0,CA,1637036884.0,95.0,62.456,-114.3525,13.41,9.22
camacha,20.0,PT,1637036885.0,67.0,33.0833,-16.3333,63.36,5.75
bengkulu,100.0,ID,1637036885.0,65.0,-3.8004,102.2655,82.58,2.73
dingle,100.0,IE,1637036886.0,85.0,52.1408,-10.2689,51.96,14.03
khatanga,90.0,RU,1637036886.0,100.0,71.9667,102.5,-26.54,1.34
collie,0.0,AU,1637036887.0,35.0,-33.3667,116.15,79.38,9.82
vardo,96.0,NO,1637036887.0,88.0,70.3705,31.1107,35.8,14.63
saint george,75.0,BM,1637036887.0,73.0,32.3817,-64.6781,74.98,10.36
cidreira,33.0,BR,1637036888.0,88.0,-30.1811,-50.2056,68.31,21.56
mandera,48.0,KE,1637036889.0,69.0,3.9366,41.867,78.67,8.68
surt,60.0,LY,1637036889.0,41.0,31.2089,16.5887,65.08,6.91
olinda,40.0,BR,1637036890.0,69.0,-8.0089,-34.8553,82.13,10.36
hay river,90.0,CA,1637036890.0,86.0,60.8156,-115.7999,19.38,3.44
christchurch,1.0,NZ,1637036732.0,37.0,-43.5333,172.6333,67.03,10.0
sovetskiy,40.0,RU,1637036892.0,87.0,61.3614,63.5842,16.18,10.22
saldanha,73.0,ZA,1637036892.0,90.0,-33.0117,17.9442,62.06,14.92
portland,73.0,AU,1637036893.0,54.0,-38.3333,141.6,57.2,9.13
taybad,98.0,IR,1637036893.0,33.0,34.74,60.7756,52.39,6.71
castro,0.0,CL,1637036893.0,87.0,-42.4721,-73.7732,42.28,6.91
merauke,84.0,ID,1637036894.0,76.0,-8.4667,140.3333,83.68,9.75
kaniama,100.0,CD,1637036895.0,98.0,-7.5667,24.1833,63.73,3.53
amboasary,27.0,MG,1637036895.0,69.0,-25.0333,46.3833,75.04,6.82
marsa matruh,98.0,EG,1637036895.0,83.0,31.3525,27.2453,67.64,8.01
angoche,78.0,MZ,1637036896.0,79.0,-16.2325,39.9086,79.23,1.3
kalabo,41.0,ZM,1637036896.0,84.0,-14.97,22.6814,66.79,4.56
san rafael,0.0,AR,1637036683.0,20.0,-34.6177,-68.3301,55.2,19.39
fort abbas,0.0,PK,1637036897.0,17.0,29.1925,72.8536,72.79,7.54
hammerfest,75.0,NO,1637036897.0,93.0,70.6634,23.6821,39.65,11.5
moussoro,88.0,TD,1637036898.0,14.0,13.6408,16.4901,77.9,10.27
pucara,100.0,PE,1637036898.0,28.0,-15.9803,-71.4606,32.13,1.25
yeppoon,14.0,AU,1637036898.0,57.0,-23.1333,150.7333,83.98,12.17
smithers,40.0,CA,1637036899.0,93.0,54.7804,-127.1743,19.72,0.0
ancud,3.0,CL,1637036900.0,81.0,-41.8697,-73.8203,42.33,5.7
barcelos,68.0,BR,1637036901.0,92.0,-0.9747,-62.9242,75.6,3.04
bandarbeyla,100.0,SO,1637036901.0,69.0,9.4942,50.8122,77.4,8.88
pevek,100.0,RU,1637036901.0,87.0,69.7008,170.3133,18.75,7.56
lebu,0.0,CL,1637036902.0,74.0,-37.6167,-73.65,50.31,21.97
chimoio,0.0,MZ,1637036904.0,83.0,-19.1164,33.4833,73.26,3.0
itarema,18.0,BR,1637036905.0,75.0,-2.9248,-39.9167,80.2,13.89
sao joao da barra,28.0,BR,1637036907.0,84.0,-21.6403,-41.0511,68.79,10.18
bulgan,97.0,MN,1637036907.0,43.0,48.8125,103.5347,36.82,9.31
tasiilaq,88.0,GL,1637036908.0,60.0,65.6145,-37.6368,24.96,10.11
loukhi,100.0,RU,1637036800.0,98.0,66.0764,33.0381,34.12,10.51
ormara,8.0,PK,1637036909.0,26.0,25.2088,64.6357,76.21,6.87
daphne,1.0,US,1637036910.0,93.0,30.6035,-87.9036,53.87,0.0
worland,1.0,US,1637036911.0,32.0,44.0169,-107.9554,63.75,10.36
kodiak,1.0,US,1637036911.0,73.0,57.79,-152.4072,18.91,6.91
weligama,100.0,LK,1637036912.0,87.0,5.9667,80.4167,80.04,11.68
upernavik,68.0,GL,1637036912.0,65.0,72.7868,-56.1549,1.56,6.89
burnie,88.0,AU,1637036913.0,52.0,-41.0667,145.9167,63.91,10.96
kihei,75.0,US,1637036913.0,87.0,20.785,-156.4656,78.82,10.36
constanza,15.0,DO,1637036913.0,1.0,18.9092,-70.745,60.64,1.7
sechura,94.0,PE,1637036914.0,77.0,-5.5569,-80.8222,65.41,13.2
muret,100.0,FR,1637036914.0,97.0,43.3333,1.25,49.78,4.09
lyngseidet,99.0,NO,1637036915.0,96.0,69.5763,20.2189,41.09,6.87
hamilton,75.0,BM,1637036915.0,82.0,32.2915,-64.778,75.24,5.99
alofi,31.0,NU,1637036916.0,61.0,-19.0595,-169.9187,80.49,13.8
norrkoping,90.0,SE,1637036916.0,81.0,58.5942,16.1826,43.38,6.91
dryden,90.0,CA,1637036916.0,86.0,49.7833,-92.7503,23.29,6.91
balkanabat,100.0,TM,1637036917.0,82.0,39.5108,54.3671,51.06,18.99
tura,99.0,RU,1637036917.0,96.0,64.2833,100.25,-2.09,6.2
bredasdorp,100.0,ZA,1637036917.0,83.0,-34.5322,20.0403,59.29,5.5
kagadi,97.0,UG,1637036918.0,92.0,0.9606,30.7967,61.48,1.81
grindavik,75.0,IS,1637036918.0,81.0,63.8424,-22.4338,39.67,24.16
gravdal,75.0,NO,1637036919.0,81.0,68.1214,13.5031,44.49,17.27
saint-pierre,100.0,PM,1637036784.0,96.0,46.7654,-56.1695,50.86,28.86
mafra,94.0,BR,1637036919.0,89.0,-26.1114,-49.8053,61.95,3.56
nam som,66.0,TH,1637036920.0,68.0,17.7704,102.1895,85.3,4.43
bubaque,19.0,GW,1637036920.0,71.0,11.2833,-15.8333,82.92,10.56
tucuma,62.0,BR,1637036921.0,93.0,-0.1833,-50.05,75.47,5.35
kapuskasing,90.0,CA,1637036921.0,86.0,49.4169,-82.4331,24.89,9.22
necochea,82.0,AR,1637036921.0,87.0,-38.5473,-58.7368,54.03,19.19
chapais,100.0,CA,1637036716.0,89.0,49.7834,-74.8492,26.38,10.69
turka,0.0,UA,1637036922.0,88.0,49.1541,23.0297,39.15,3.13
oranjemund,2.0,NA,1637036923.0,95.0,-28.55,16.4333,58.86,7.43
salinas,100.0,EC,1637036923.0,86.0,-2.2167,-80.9667,68.25,10.49
college,90.0,US,1637036894.0,79.0,64.8569,-147.8028,-0.45,0.0
humaita,100.0,BR,1637036924.0,95.0,-7.5061,-63.0208,75.18,1.57
saskylakh,73.0,RU,1637036925.0,100.0,71.9167,114.0833,-28.26,3.74
algeciras,100.0,PH,1637036926.0,79.0,11.4154,120.8168,82.98,22.82
meulaboh,96.0,ID,1637036926.0,69.0,4.1363,96.1285,83.39,1.72
porto empedocle,2.0,IT,1637036928.0,83.0,37.2934,13.5264,59.9,9.13
vallenar,0.0,CL,1637036929.0,57.0,-28.5708,-70.7581,64.4,1.9
desaguadero,100.0,PE,1637036930.0,66.0,-16.5656,-69.0417,48.31,6.17
ha giang,100.0,VN,1637036930.0,91.0,22.8333,104.9833,67.68,1.39
luderitz,0.0,NA,1637036931.0,69.0,-26.6481,15.1594,63.01,15.3
saint-augustin,100.0,CA,1637036932.0,98.0,51.226,-58.6502,37.51,21.16
kulhudhuffushi,71.0,MV,1637036933.0,78.0,6.6221,73.07,81.5,18.14
san quintin,0.0,MX,1637036933.0,75.0,30.4833,-115.95,64.62,5.84
seoul,0.0,KR,1637036928.0,33.0,37.5683,126.9778,58.39,4.61
northam,0.0,AU,1637036934.0,26.0,-31.6667,116.6667,73.45,11.65
soyaniquilpan,75.0,MX,1637036935.0,66.0,19.9833,-99.5,45.3,1.72
lafia,100.0,NG,1637036935.0,66.0,8.4833,8.5167,76.89,3.62
konya,6.0,TR,1637036935.0,46.0,38.1667,32.5,38.68,3.69
nizhniy kuranakh,100.0,RU,1637036948.0,91.0,58.8353,125.4869,16.59,1.39
bodden town,89.0,KY,1637036949.0,83.0,19.2833,-81.25,82.0,5.01
moose factory,90.0,CA,1637036949.0,93.0,51.2585,-80.6094,26.6,11.5
berlevag,99.0,NO,1637036950.0,84.0,70.8578,29.0864,41.0,16.87
yar-sale,82.0,RU,1637036950.0,94.0,66.8333,70.8333,1.24,5.41
mogadishu,75.0,SO,1637036952.0,83.0,2.0371,45.3438,82.27,4.61
guerrero negro,0.0,MX,1637036956.0,60.0,27.9769,-114.0611,69.24,8.97
mangrol,81.0,IN,1637036956.0,36.0,21.1167,70.1167,77.92,11.9
yulara,0.0,AU,1637036957.0,12.0,-25.2406,130.9889,87.64,4.61
aswan,6.0,EG,1637036957.0,48.0,24.0934,32.907,68.45,9.19
coquimbo,0.0,CL,1637036958.0,82.0,-29.9533,-71.3436,56.93,3.44
chicama,64.0,PE,1637036958.0,84.0,-7.8447,-79.1469,61.34,5.99
comodoro rivadavia,0.0,AR,1637036960.0,38.0,-45.8667,-67.5,39.06,5.75
deniliquin,6.0,AU,1637036922.0,28.0,-35.5333,144.9667,69.01,9.17
kloulklubed,76.0,PW,1637036960.0,68.0,7.0419,134.2556,84.25,4.21
fort nelson,90.0,CA,1637036962.0,92.0,58.8053,-122.7002,11.79,4.61
rio gallegos,0.0,AR,1637036965.0,56.0,-51.6226,-69.2181,41.05,9.22
chateauroux,90.0,FR,1637036965.0,100.0,46.8167,1.7,43.75,4.61
hasaki,71.0,JP,1637036966.0,80.0,35.7333,140.8333,63.0,20.4
bellegarde-sur-valserine,99.0,FR,1637036966.0,95.0,46.1079,5.8242,46.45,0.2
souillac,40.0,MU,1637036966.0,65.0,-20.5167,57.5167,81.36,11.5
san patricio,57.0,MX,1637036967.0,71.0,19.2167,-104.7,75.97,4.14
mehamn,40.0,NO,1637036970.0,70.0,71.0357,27.8492,40.95,13.8
chany,30.0,RU,1637036970.0,88.0,55.3121,76.7647,4.66,4.81
victoria,40.0,SC,1637036971.0,89.0,-4.6167,55.45,78.06,2.3
santa cruz,3.0,CR,1637036973.0,88.0,10.2605,-85.5851,79.16,4.38
weatherford,0.0,US,1637036810.0,83.0,32.7593,-97.7972,68.36,15.3
touros,5.0,BR,1637036849.0,74.0,-5.1989,-35.4608,79.7,14.07
tautira,49.0,PF,1637036973.0,81.0,-17.7333,-149.15,82.42,14.65
pucallpa,100.0,PE,1637036974.0,72.0,-8.3791,-74.5539,78.39,2.66
santa isabel do rio negro,95.0,BR,1637036974.0,87.0,-0.4139,-65.0192,76.28,2.06
luganville,39.0,VU,1637036975.0,75.0,-15.5333,167.1667,83.44,9.89
san jose,100.0,GT,1637036975.0,100.0,16.9833,-89.9,69.71,0.83
grand-santi,98.0,GF,1637036975.0,99.0,4.25,-54.3833,71.78,1.74
ambagarh chauki,57.0,IN,1637036976.0,70.0,20.7833,80.7167,77.95,10.4
puerto madryn,0.0,AR,1637036976.0,53.0,-42.7692,-65.0385,49.71,7.65
lormi,16.0,IN,1637036976.0,47.0,22.2833,81.7333,78.04,4.99
palana,100.0,RU,1637036977.0,72.0,59.1167,159.9667,32.34,18.75
mesetas,91.0,CO,1637036977.0,80.0,3.3846,-74.0442,72.48,3.22
misawa,62.0,JP,1637036978.0,54.0,40.6836,141.3597,50.61,14.38
matagami,90.0,CA,1637036978.0,100.0,49.7502,-77.6328,26.71,9.22
mount gambier,90.0,AU,1637036979.0,54.0,-37.8333,140.7667,57.11,8.05
sakakah,20.0,SA,1637036979.0,35.0,29.9697,40.2064,49.57,7.34
ondjiva,82.0,AO,1637036979.0,69.0,-17.0667,15.7333,69.15,0.87
talnakh,100.0,RU,1637036980.0,95.0,69.4865,88.3972,2.16,12.62
margate,100.0,ZA,1637036980.0,77.0,-30.8636,30.3705,70.03,20.89
iqaluit,20.0,CA,1637036981.0,71.0,63.7506,-68.5145,-2.47,16.11
saint-philippe,60.0,RE,1637036981.0,76.0,-21.3585,55.7679,80.19,7.47
lagoa,0.0,PT,1637036981.0,85.0,39.05,-27.9833,65.86,17.34
avarua,20.0,CK,1637036984.0,78.0,-21.2078,-159.775,77.05,5.75
acarau,17.0,BR,1637036985.0,78.0,-2.8856,-40.12,79.84,12.97
vikhorevka,100.0,RU,1637036985.0,88.0,56.1201,101.1636,26.19,3.96
almeirim,97.0,BR,1637036985.0,89.0,-1.5233,-52.5817,75.43,4.21
pangnirtung,88.0,CA,1637036986.0,71.0,66.1451,-65.7125,3.38,5.08
myitkyina,47.0,MM,1637036986.0,58.0,25.3833,97.4,79.12,0.65
orumiyeh,40.0,IR,1637036987.0,93.0,37.5527,45.0761,33.35,4.61
dunedin,89.0,NZ,1637036987.0,44.0,-45.8742,170.5036,61.84,8.93
mananara,47.0,MG,1637036988.0,69.0,-16.1667,49.7667,78.33,4.81
beaverlodge,100.0,CA,1637036988.0,95.0,55.2166,-119.4361,22.35,9.93
dinguiraye,98.0,GN,1637036989.0,52.0,11.3,-10.7167,68.72,2.42
nanortalik,0.0,GL,1637036990.0,61.0,60.1432,-45.2371,18.1,25.66
limon,19.0,CR,1637036990.0,81.0,10.0,-83.0333,77.02,2.77
mareeba,69.0,AU,1637036991.0,57.0,-17.0,145.4333,88.45,8.72
labuhan,100.0,ID,1637036991.0,65.0,-6.8844,112.2051,84.67,3.31
tombouctou,55.0,ML,1637036991.0,26.0,20.0,-3.0,68.59,8.97
abeche,22.0,TD,1637036992.0,17.0,13.8292,20.8324,72.43,9.37
mandalgovi,33.0,MN,1637036993.0,43.0,45.7625,106.2708,30.33,13.65
machilipatnam,100.0,IN,1637036993.0,81.0,16.1667,81.1333,82.6,13.67
arkhipo-osipovka,27.0,RU,1637036993.0,76.0,44.37,38.52,36.95,30.8
fortuna,90.0,US,1637036994.0,75.0,40.5982,-124.1573,56.19,1.01
botwood,100.0,CA,1637036994.0,92.0,49.1499,-55.3482,41.9,11.45
micheweni,40.0,TZ,1637036995.0,72.0,-4.9667,39.8333,79.2,4.29
axim,62.0,GH,1637036995.0,84.0,4.8699,-2.2405,78.58,5.44
henties bay,99.0,NA,1637036995.0,93.0,-22.116,14.2845,60.85,0.69
goba,62.0,ET,1637036996.0,82.0,7.0167,39.9833,48.96,3.2
sao filipe,96.0,CV,1637036996.0,78.0,14.8961,-24.4956,75.9,5.1
nizhnyaya omka,51.0,RU,1637036997.0,91.0,55.4338,74.9426,5.32,6.22
matamoros,1.0,MX,1637036999.0,28.0,25.5333,-103.25,68.11,3.44
hilo,75.0,US,1637036999.0,85.0,19.7297,-155.09,78.53,4.61
polahongon,100.0,PH,1637037000.0,91.0,10.5288,124.9694,79.75,5.12
banda aceh,100.0,ID,1637037000.0,82.0,5.5577,95.3222,79.63,3.49
wencheng,55.0,CN,1637037001.0,47.0,33.0559,113.7978,60.55,8.16
salalah,0.0,OM,1637036865.0,24.0,17.0151,54.0924,82.49,6.91
amasya,100.0,TR,1637037002.0,89.0,40.6667,35.8333,47.88,3.38
nurota,100.0,UZ,1637037002.0,32.0,40.5614,65.6886,39.29,2.91
pleasanton,1.0,US,1637036858.0,90.0,37.6624,-121.8747,59.63,0.0
tikamgarh,6.0,IN,1637037003.0,36.0,24.745,78.8333,73.51,7.07
kavieng,100.0,PG,1637037004.0,70.0,-2.5744,150.7967,84.11,7.72
broome,20.0,AU,1637037008.0,66.0,-17.9667,122.2333,89.55,12.66
gunjur,0.0,GM,1637037009.0,94.0,13.2019,-16.7339,71.67,4.61
harper,25.0,LR,1637037009.0,85.0,4.375,-7.7169,77.22,4.88
leshukonskoye,100.0,RU,1637037012.0,97.0,64.8989,45.7622,29.77,7.14
qaqortoq,0.0,GL,1637037012.0,69.0,60.7167,-46.0333,12.7,7.38
kempele,0.0,FI,1637037014.0,90.0,64.9131,25.5034,37.42,9.22
byron bay,69.0,AU,1637036785.0,44.0,-28.65,153.6167,82.51,9.93
asfi,0.0,MA,1637037015.0,78.0,32.2994,-9.2372,58.41,7.72
lovozero,100.0,RU,1637036799.0,92.0,68.005,35.0117,34.54,17.31
kaeo,51.0,NZ,1637037017.0,61.0,-35.1,173.7833,69.15,9.69
pitiquito,0.0,MX,1637037018.0,23.0,30.7,-112.0833,69.37,2.66
zaysan,100.0,KZ,1637037023.0,73.0,47.4667,84.8667,30.24,6.24
samarai,86.0,PG,1637037023.0,74.0,-10.6167,150.6667,85.05,12.17
sisimiut,99.0,GL,1637037024.0,86.0,66.9395,-53.6735,16.32,5.17
biltine,30.0,TD,1637037024.0,20.0,14.5333,20.9167,71.8,8.68
ridgecrest,75.0,US,1637037024.0,18.0,35.6225,-117.6709,69.66,1.99
yeniseysk,100.0,RU,1637036851.0,88.0,58.4497,92.1703,11.28,7.67
anadyr,75.0,RU,1637037025.0,80.0,64.75,177.4833,27.1,8.95
shingu,40.0,JP,1637037025.0,49.0,33.7333,135.9833,68.99,2.98
acapulco,8.0,MX,1637037026.0,73.0,16.8634,-99.8901,75.69,4.0
kalamb,95.0,IN,1637037026.0,56.0,19.05,73.95,79.88,14.12
kaitangata,88.0,NZ,1637037027.0,42.0,-46.2817,169.8464,60.93,14.41
cururupu,35.0,BR,1637037027.0,90.0,-1.8283,-44.8683,75.94,4.05
shubarkuduk,87.0,KZ,1637037027.0,82.0,49.1447,56.4872,19.44,14.03
ayan,82.0,RU,1637037028.0,60.0,56.45,138.1667,15.67,13.91
cody,1.0,US,1637037028.0,28.0,44.5263,-109.0565,61.02,12.66
ulladulla,19.0,AU,1637037029.0,51.0,-35.35,150.4667,69.76,9.42
bat yam,0.0,IL,1637037029.0,58.0,32.0231,34.7503,64.63,2.3
kruisfontein,99.0,ZA,1637037029.0,69.0,-34.0033,24.7314,63.88,16.8
bilma,38.0,NE,1637037030.0,20.0,18.6853,12.9164,73.33,6.15
pitimbu,18.0,BR,1637037030.0,79.0,-7.4706,-34.8086,79.39,12.86
hofn,46.0,IS,1637037031.0,72.0,64.2539,-15.2082,39.49,31.21
baguio,77.0,PH,1637036891.0,62.0,16.4164,120.5931,72.79,2.55
turayf,0.0,SA,1637037031.0,76.0,31.6725,38.6637,46.65,4.61
faanui,100.0,PF,1637037032.0,73.0,-16.4833,-151.75,81.23,6.71
bondo,89.0,CD,1637037032.0,98.0,3.8146,23.6866,69.17,0.78
hargeysa,22.0,SO,1637037033.0,52.0,9.56,44.065,68.07,3.02
soluno-dmitriyevskoye,88.0,RU,1637037034.0,86.0,44.4031,42.7278,29.75,7.43
atar,99.0,MR,1637037034.0,33.0,20.5169,-13.0499,76.78,5.82
mani,79.0,CO,1637037035.0,70.0,4.8172,-72.2886,75.49,5.46
rawson,0.0,AR,1637036766.0,51.0,-43.3002,-65.1023,49.93,7.36
carbonia,100.0,IT,1637036855.0,92.0,39.1672,8.5222,52.75,6.69
correntina,100.0,BR,1637037036.0,86.0,-13.3433,-44.6367,67.55,6.29
ginir,32.0,ET,1637037036.0,61.0,7.1333,40.7,63.75,1.72
lorengau,99.0,PG,1637037025.0,78.0,-2.0226,147.2712,81.88,3.83
kavaratti,91.0,IN,1637037037.0,77.0,10.5669,72.642,81.45,12.93
cherskiy,100.0,RU,1637037037.0,82.0,68.75,161.3,21.74,6.51
sitka,20.0,US,1637037038.0,86.0,57.0531,-135.33,31.89,5.75
masunga,73.0,BW,1637037039.0,39.0,-20.6246,27.4488,77.22,17.58
kholmy,34.0,UA,1637037039.0,84.0,51.871,32.6006,25.2,5.46
hualmay,99.0,PE,1637037040.0,83.0,-11.0964,-77.6139,63.9,8.48
egvekinot,100.0,RU,1637037040.0,90.0,66.3167,-179.1667,7.25,6.62
yagodnoye,99.0,RU,1637037040.0,99.0,62.55,149.6667,-1.57,3.4
phan thiet,100.0,VN,1637037041.0,71.0,10.9333,108.1,84.38,6.76
baraya,93.0,CO,1637037041.0,85.0,3.1533,-75.0531,70.99,3.71
caravelas,98.0,BR,1637037042.0,72.0,-17.7125,-39.2481,73.45,9.17
beloha,33.0,MG,1637037042.0,59.0,-25.1667,45.05,77.76,10.4
zhangye,97.0,CN,1637037042.0,21.0,38.9342,100.4517,40.28,7.56
lagoa vermelha,99.0,BR,1637037043.0,85.0,-28.2086,-51.5258,60.93,8.59
shangzhi,14.0,CN,1637037043.0,77.0,45.2167,127.9667,34.21,12.01
saint-georges,59.0,GF,1637037044.0,99.0,3.9,-51.8,72.46,2.19
halifax,53.0,CA,1637036999.0,84.0,44.6453,-63.5724,43.0,8.01
